タイムライン日付,タスクID,タスク名,プロジェクトID,プロジェクト名,モードID,モード名,タグID,タグ名,ルーチンID,ルーチン名,見積時間,実績時間,開始日時,終了日時,リンク,アイコン,カラー,お気に入り
2025-07-08,task_bff59c76474c4e13ad20f53f205caf26,水筒・箸セット・歯ブラシ・ハンカチ・ティッシュ,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,,,00:04:57,00:04:21,2025-07-08 07:15:19,2025-07-08 07:19:40,,ShoppingBag,,0
2025-07-08,task_6076e9699a2849ee82215bddef53f785,🏠部屋を片付ける,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_69ba4f9e830d424384a8572e6a85d628,🏠部屋を片付ける,00:02:27,00:01:35,2025-07-08 07:18:07,2025-07-08 07:19:42,,CleaningServices,,0
2025-07-08,task_80574bfc992a4fe2bb2e1dedc8ffe6a7,👚服を着替える,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_131d926da76649c18c97d86cebecbc70,👚服を着替える,00:01:47,00:00:13,2025-07-08 07:19:31,2025-07-08 07:19:44,,Wash,,0
2025-07-08,task_9b3e3c5f7383476789456c3a6f64c5fb,家計簿をつける,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_c5f3e5e4547a41638349672c278f3223,家計簿をつける,00:01:40,00:00:20,2025-07-08 07:19:47,2025-07-08 07:20:07,,MonetizationOn,,0
2025-07-08,task_6a2fdd3610334b82a9d62325eb0fe487,🥞朝ごはんを食べる,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_57039f4d4a82469f908219c154b5ca83,🥞朝ごはんを食べる,00:09:33,00:00:01,2025-07-08 07:20:07,2025-07-08 07:20:08,,FreeBreakfast,,0
2025-07-08,task_80df3fcc1dcb4873b0e889dba061a503,🥞朝ごはんを食べる,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_57039f4d4a82469f908219c154b5ca83,🥞朝ごはんを食べる,00:09:33,00:01:29,2025-07-08 07:20:07,2025-07-08 07:21:36,,FreeBreakfast,,0
2025-07-08,task_ed647aaa375a43a18a21d1eeb3647f18,腰のストレッチ,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_6af54c94cc7240e6b351c7046dc8c8b2,腰のストレッチ,00:00:24,00:00:31,2025-07-08 07:20:09,2025-07-08 07:20:40,,SportsGymnastics,,0
2025-07-08,task_1f7856576b3b42f3a35836bb7b1e5673,水筒・箸セット・歯ブラシ・ハンカチ・ティッシュ,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_020949b3487c43f585a1f35512d3dc30,水筒・箸セット・歯ブラシ・ハンカチ・ティッシュ,00:04:57,00:00:01,2025-07-08 07:20:42,2025-07-08 07:20:43,,ShoppingBag,,0
2025-07-08,task_b013e503a6ec468c8b4a8a1551dbd362,学童Forms回答,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_1f54b22413ba4ac2898820c1a3068ef5,学童Forms回答,00:01:11,00:00:54,2025-07-08 07:20:44,2025-07-08 07:21:38,,AutoAwesomeMotion,,0
2025-07-08,task_79c732102dcd49128abe0997f87570d2,連絡帳の確認,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_e4e0e6abe1b14eac9d24209e4efb2314,雑務タスク,,,rtn_97d5299e5d9141f885063e49b7ad32d5,連絡帳の確認,00:02:29,00:02:31,2025-07-08 07:22:05,2025-07-08 07:24:36,,NoteAlt,,0
2025-07-08,task_ab41f24ab22f4d598b3dd680c8e148cb,家計簿をつける,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_c5f3e5e4547a41638349672c278f3223,家計簿をつける,00:01:20,00:01:41,2025-07-08 07:24:37,2025-07-08 07:26:18,,MonetizationOn,,0
2025-07-08,task_8f849d319ff4417bb4f032d79d72670b,🪥歯磨きをする,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_f7f5501116064e24a3784a6713218f6e,🪥歯磨きをする,00:08:36,00:12:12,2025-07-08 07:26:00,2025-07-08 07:38:12,,Brush,,0
2025-07-08,task_8aa4f93575c04bb19666292b05ee3f4c,当日のイベント確認,prj_81d3a13b01344f3585ba0995d22adabb,🏠 Life,mode_dbf3ff1d59cf412f85ac71a4b644fef1,❤️Living,,,rtn_81722f6f629644539653528dde8522b7,当日のイベント確認,00:00:25,00:00:03,2025-07-08 07:26:20,2025-07-08 07:26:23,,EventAvailable,,0
